제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-185087,지하철 임산부배려석 재명명 해주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185087,2019-08-20,2019,3.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185087,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-185086,지하철 임산부 좌석 글귀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185086,2019-08-20,2019,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185086,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-185076,임산부임을 알리는 가방고리를 옷에 달 수 있는 뱃지형태로도 제작하는 것은 어떨까 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185076,2019-08-19,2019,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185076,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-185069,임산부배려석 알리미,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185069,2019-08-18,2019,11.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185069,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-185071,임산부배려석 관련 의견입니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185071,2019-08-18,2019,3.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185071,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184868,다문화가정 대상아동 어린이가 학습할수 좋도록 책상 의자지원이 절실합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184868,2019-07-30,2019,0.0,0,N,미상,다자녀·양육비·생활지원,교육비·서울런,서울런·교육비 지원,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184868,취약·다양가족 사각지대,다문화·외국인,다문화가족 지원,출산양육 후보,"아동, 어린이",다문화,중
PROP-184851,임산부 석에 앉는 사람이 많습니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184851,2019-07-25,2019,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184851,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-184839,지하철 임산부 승차시 자동 알람 기능,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184839,2019-07-22,2019,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184839,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-184828,서울시 문화재 및 미래유산 보존·활용 방안 토론에 참여바랍니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184828,2019-07-18,2019,23.0,4,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184828,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,출산양육 후보,유산,유산,중
PROP-184757,임산부배려석 차단바설치,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184757,2019-07-03,2019,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184757,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184729,임산부 배려석에 관해서~~,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184729,2019-06-27,2019,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184729,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184659,임산부 배려석과 국민행복카드 연계 및 지하철 앱 활용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184659,2019-06-22,2019,5.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184659,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184649,공영주차장에 아파트를  건축하여 저소득층이나 신혼부부에게 저렴하게 분양하자,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184649,2019-06-20,2019,0.0,0,N,미상,출산·산후 초기지원,출생축하·신생아 초기지원,신생아 초기지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184649,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-184600,서울지하철 내 임산부배려석에 ‘테디베어’ 곰 인형 설치를 확대해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184600,2019-06-06,2019,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184600,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184534,지하철 임산부 배려석 도우미 &#39;Pink Voice&#39; 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184534,2019-05-23,2019,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184534,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184476,"지하철 임산부배려석 위치 통일, 플랫폼(스크린도어)에 임산부배려석 위치 표시",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184476,2019-05-09,2019,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184476,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184454,임산부 배려석 없애주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184454,2019-05-03,2019,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184454,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184443,다문화가정 대상아동 어린이가 학습할수 좋도록 책상 의자지원이 절실합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184443,2019-05-01,2019,0.0,0,N,미상,다자녀·양육비·생활지원,교육비·서울런,서울런·교육비 지원,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184443,취약·다양가족 사각지대,다문화·외국인,다문화가족 지원,출산양육 후보,"아동, 어린이",다문화,중
PROP-184433,임산부 배려석 관련 제안드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184433,2019-04-28,2019,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184433,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-184423,지하철 임산부석을 없애주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184423,2019-04-26,2019,5.0,4,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184423,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-184410,임산부 배려&#39;칸&#39; 신설 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184410,2019-04-23,2019,0.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184410,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-184175,아동양육시설 등 퇴소생을 위한 금융교육 등 자립 지원 방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184175,2019-03-25,2019,1.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184175,일·가정 양립·부모 노동,경력단절·자립,경력단절 예방·일자리,출산양육 후보,"양육, 아동",자립,중
PROP-184163,임산부 배려의 끝판왕,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184163,2019-03-23,2019,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184163,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-184107,지하철 등에 임산부/노약자 전용석 아이디어 제안 합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184107,2019-03-14,2019,0.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184107,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-184041,"길고양이 입양시 중성화 수술, 예방접종 비용 지원 및 쉼터조성을 통한 길고양이 관련 민원 해소 대책 마련",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184041,2019-03-08,2019,10.0,2,N,미상,취약·다양가족 사각지대,저소득·차상위·입양,저소득가구 양육지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184041,취약·다양가족 사각지대,저소득·차상위·입양,저소득·입양가정 지원,출산양육 후보,입양,입양,중
PROP-183875,영유아 놀이장난감 대여사업 추진,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183875,2019-02-20,2019,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183875,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,영유아,유아,중
PROP-183833,임산부 지하철 조끼,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183833,2019-02-18,2019,4.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183833,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-183817,시내버스 임산부석 가방걸이 설치,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183817,2019-02-15,2019,11.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183817,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-183638,임산부교통카드,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183638,2019-01-14,2019,12.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183638,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-183574,지하철 임산부배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183574,2018-12-31,2018,3.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183574,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-183452,임산부가 살만한 세상 만들기,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183452,2018-12-21,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183452,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-183344,전철 임산부 보호석 보완,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183344,2018-12-12,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183344,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-183154,대중교통 임산부 배려석을 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183154,2018-11-29,2018,14.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183154,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-183047,지하철 임산부 배려석 활성화 방안(임산부카드+교통카드),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183047,2018-11-19,2018,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183047,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-183038,지하철 임산부좌석(핑크카펫)의 수를 줄여주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183038,2018-11-18,2018,10.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183038,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-182912,키움센터 밤대,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182912,2018-11-06,2018,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182912,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-182913,지역아동센터 차별,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182913,2018-11-06,2018,0.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182913,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,아동,지역아동센터,중
PROP-182914,키움센터 반대,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182914,2018-11-06,2018,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182914,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-182826,지하철 내 임산부 알림 경보 설치 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182826,2018-10-29,2018,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182826,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-182797,임산부 배려석에 핑크라이트 설치,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182797,2018-10-26,2018,21.0,4,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182797,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-182767,"아동, 차별, 낙인없는 보편적 아동복지 필요",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182767,2018-10-23,2018,0.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182767,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-182741,임산부 배려석이 아닌 임산부석을 마련해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182741,2018-10-21,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182741,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석, 임산부석",상
PROP-182732,차별없는 아동복지 정책을 실현해 주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182732,2018-10-19,2018,2.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182732,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-182580,지하철 임산부 배려석에 외국인들을 위한 안내가 있어야 할 것 같습니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182580,2018-10-03,2018,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182580,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-182581,임산부 배려석에 임산부만 앉을 수 있는 장치를 설치해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182581,2018-10-03,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182581,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-182505,강북구 미아동258번지에 임대아파트는 어떤지요??,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182505,2018-09-27,2018,2.0,1,N,강북구,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182505,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-182481,임산부석 영어 팻말,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182481,2018-09-23,2018,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182481,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-182392,서울시립대학 을 폐교하고 신혼부부용 아파트를 건설합시다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182392,2018-09-17,2018,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182392,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-182378,임산부 배려석? 생각의 전환으로! 임산부 배려뱃지!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182378,2018-09-15,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182378,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석, 뱃지",상
PROP-182221,청년및 신혼부부희망주택 정책제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182221,2018-09-09,2018,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182221,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 주택",상
PROP-182211,신혼부부 영구주택 100만호 건설합시다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182211,2018-09-08,2018,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182211,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 주택",상
PROP-182200,상도유치원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182200,2018-09-07,2018,0.0,1,N,미상,보육·돌봄 인프라,어린이집·유치원,어린이집 운영·확충,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182200,보육·돌봄 인프라,어린이집·유치원,어린이집·유치원 운영 개선,출산양육 후보,유치원,유치원,중
PROP-182192,"장애인, 기초수급자, 한부모가정 등 이사시 에어컨 보일러 점검 서비스 해야",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182192,2018-09-06,2018,0.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182192,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼부모 지원,출산양육 후보,한부모,한부모,중
PROP-182151,각 구마다 산모을 위한 산모요가 프로그램?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182151,2018-09-03,2018,0.0,0,N,미상,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=182151,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산양육 후보,산모,산모,중
PROP-181809,서울 및 수도권 지하철에 있는 &#34;임산부 배려석&#34; 개선 요청합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181809,2018-07-20,2018,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181809,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-181791,근로자녀장려금 지급기준,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181791,2018-07-18,2018,0.0,1,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181791,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,자녀,자녀,하
PROP-181777,임산부석 좌석 알람제,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181777,2018-07-16,2018,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181777,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-181693,서울시어린이공원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181693,2018-06-29,2018,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181693,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,어린이,어린이공원,중
